PHY_ExG_Response.csv
Serial number : 240315(HUS VM)
From : 2017/04/05 00:00
To   : 2017/04/06 00:00
sampling rate : 1

"No.","time","E1-1","E1-2","E1-3","E1-4","E1-5","E1-6","E1-7","E1-8","E1-9","E1-10","E1-11","E1-12","E1-13","E1-14","E1-15","E1-16","E1-17","E1-18"
"81","2017/04/05 01:21",6,4,3,3,2,2,4,1,2,2,3,4,3,1,3,2,2,2
"82","2017/04/05 01:22",2,3,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2
"83","2017/04/05 01:23",2,3,3,2,2,2,2,2,2,3,3,6,2,2,2,2,2,2
"84","2017/04/05 01:24",2,3,3,3,2,3,3,3,2,5,4,6,3,3,4,4,3,2
"85","2017/04/05 01:25",3,3,4,2,3,2,2,2,3,5,2,7,3,2,3,4,4,3
"86","2017/04/05 01:26",2,2,3,3,3,3,2,2,3,3,2,4,3,2,2,3,2,2
"87","2017/04/05 01:27",2,3,3,2,2,2,3,2,3,2,4,4,2,2,2,2,2,2
"88","2017/04/05 01:28",2,3,3,2,2,2,2,1,2,3,2,4,2,2,3,2,2,4
"89","2017/04/05 01:29",3,4,3,2,3,2,2,1,3,4,5,2,3,3,4,3,3,3
"90","2017/04/05 01:30",3,3,3,2,2,3,2,2,3,3,6,3,2,2,4,4,3,3
"91","2017/04/05 01:31",2,4,3,3,3,3,2,3,2,2,4,4,2,2,2,2,3,3
"92","2017/04/05 01:32",3,4,3,7,3,4,2,2,3,2,3,3,2,2,3,2,6,4
"93","2017/04/05 01:33",3,3,4,1,2,2,2,2,3,2,3,2,3,2,2,2,5,2
"94","2017/04/05 01:34",4,3,3,8,3,4,4,2,3,3,3,2,3,2,2,2,4,8
"95","2017/04/05 01:35",3,3,2,7,2,3,12,2,3,2,2,2,2,2,2,2,3,1
"96","2017/04/05 01:36",2,3,2,2,4,1,2,4,2,2,2,2,2,2,3,2,4,2
"97","2017/04/05 01:37",2,1,3,2,3,1,6,3,5,2,2,2,2,2,2,1,1,1
"98","2017/04/05 01:38",2,2,2,4,2,2,2,4,3,2,2,2,1,1,1,2,1,2
"99","2017/04/05 01:39",2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"100","2017/04/05 01:40",2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
"101","2017/04/05 01:41",2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
"102","2017/04/05 01:42",2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"103","2017/04/05 01:43",3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"104","2017/04/05 01:44",3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"105","2017/04/05 01:45",2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2
"106","2017/04/05 01:46",2,2,2,2,2,2,2,2,2,2,4,3,2,2,2,2,2,2
"107","2017/04/05 01:47",3,3,3,3,3,4,2,4,4,4,6,8,4,3,3,3,4,6
"108","2017/04/05 01:48",2,6,9,8,6,6,4,4,3,4,5,5,4,3,4,4,4,4
"109","2017/04/05 01:49",2,2,7,6,4,7,4,3,2,4,7,5,4,3,4,4,6,5
"110","2017/04/05 01:50",1,2,2,-3,4,-3,1,-3,2,-3,-3,5,1,1,-3,1,1,-3
"111","2017/04/05 01:51",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1
"112","2017/04/05 01:52",1,1,1,2,1,1,1,2,1,1,-3,-3,-3,1,1,-3,1,-3
"113","2017/04/05 01:53",1,1,1,1,-3,1,1,-3,1,-3,-3,-3,1,1,1,1,1,1
"114","2017/04/05 01:54",2,1,1,1,1,1,-3,1,1,1,1,1,1,1,1,1,1,1
"115","2017/04/05 01:55",2,1,1,-3,1,-3,-3,1,1,1,-3,2,-3,1,1,1,1,-3
"116","2017/04/05 01:56",2,2,1,-3,1,1,1,1,2,1,1,-3,-3,1,1,1,1,1
"117","2017/04/05 01:57",4,2,1,-3,1,-3,1,1,1,1,-3,-3,-3,1,-3,1,-3,-3
"118","2017/04/05 01:58",1,1,2,2,1,1,1,-3,1,-3,-3,-3,1,1,-3,1,-3,-3
"119","2017/04/05 01:59",-3,1,1,2,1,-3,1,1,1,-3,-3,-3,-3,1,-3,1,1,-3
"120","2017/04/05 02:00",-3,2,3,1,1,2,3,-3,3,4,-3,5,3,2,1,2,-3,-3
"121","2017/04/05 02:01",2,3,6,5,3,7,3,3,4,5,4,3,3,3,4,3,4,6
"122","2017/04/05 02:02",2,2,10,4,8,7,3,6,3,5,5,6,3,2,2,2,3,3
"123","2017/04/05 02:03",7,2,2,4,3,3,3,-3,6,4,5,5,3,3,2,3,3,3
"124","2017/04/05 02:04",1,1,2,-3,1,-3,-3,1,1,-3,1,-3,-3,1,3,1,1,-3
"125","2017/04/05 02:05",-3,1,2,2,-3,-3,-3,2,2,4,-3,-3,3,3,-3,1,4,-3
"126","2017/04/05 02:06",2,2,2,2,6,4,1,1,1,1,1,2,1,1,2,1,2,1
"127","2017/04/05 02:07",2,1,1,2,1,1,2,1,1,6,7,6,-3,1,3,1,-3,-3
"128","2017/04/05 02:08",2,4,1,1,1,2,1,-3,1,1,4,4,2,1,2,2,-3,-3
"129","2017/04/05 02:09",2,2,-3,8,1,2,2,2,3,2,-3,-3,1,2,-3,3,-3,3
"130","2017/04/05 02:10",-3,2,2,1,-3,1,1,1,4,-3,1,-3,-3,1,-3,1,1,-3
"131","2017/04/05 02:11",-3,2,2,2,1,8,1,1,1,3,6,-3,2,1,2,1,-3,-3
"132","2017/04/05 02:12",1,1,1,2,1,-3,1,-3,1,-3,-3,-3,-3,1,-3,-3,-3,-3
"133","2017/04/05 02:13",2,-3,1,1,1,3,1,1,1,-3,1,-3,1,1,-3,2,1,-3
"134","2017/04/05 02:14",2,1,1,-3,1,1,1,-3,2,-3,-3,-3,1,1,-3,1,1,-3
"135","2017/04/05 02:15",2,1,4,-3,4,3,-3,3,4,-3,6,-3,3,1,4,1,2,-3
"136","2017/04/05 02:16",4,2,2,6,6,6,3,2,3,4,-3,7,3,3,3,4,3,4
"137","2017/04/05 02:17",1,1,2,1,1,1,-3,1,-3,1,-3,-3,1,1,-3,-3,-3,-3
"138","2017/04/05 02:18",3,1,1,2,1,1,2,1,1,4,6,-3,4,2,1,1,2,1
"139","2017/04/05 02:19",2,1,1,1,1,1,1,1,1,-3,1,-3,1,1,1,1,-3,-3
"140","2017/04/05 02:20",2,1,1,6,6,5,6,4,1,-3,14,6,-3,1,2,2,4,-3
"141","2017/04/05 02:21",2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,4,1
"142","2017/04/05 02:22",-3,2,2,-3,4,2,1,3,5,1,-3,-3,-3,1,-3,3,4,-3
"143","2017/04/05 02:23",-3,3,2,2,1,1,1,3,4,-3,2,1,1,1,2,3,-3,-3
"144","2017/04/05 02:24",1,1,2,2,1,1,2,1,1,-3,-3,1,1,1,-3,1,1,-3
"145","2017/04/05 02:25",2,2,2,2,2,1,1,1,2,1,1,2,2,1,2,1,2,1
"146","2017/04/05 02:26",2,2,1,1,1,1,-3,1,1,-3,-3,2,1,1,-3,1,1,-3
"147","2017/04/05 02:27",2,1,1,1,-3,2,-3,1,1,1,-3,4,-3,1,-3,2,1,1
"148","2017/04/05 02:28",1,2,2,1,1,1,1,1,1,-3,-3,6,1,1,-3,1,-3,-3
"149","2017/04/05 02:29",1,-3,2,1,1,-3,-3,1,3,-3,-3,-3,1,1,-3,-3,-3,-3
"150","2017/04/05 02:30",3,-3,2,2,1,1,2,1,2,-3,7,7,1,1,-3,1,-3,-3
"151","2017/04/05 02:31",2,2,1,2,9,2,2,6,1,3,-3,7,3,2,4,2,2,3
"152","2017/04/05 02:32",2,1,2,2,3,4,2,2,1,1,-3,4,-3,2,2,2,-3,-3
"153","2017/04/05 02:33",2,1,1,1,-3,6,2,1,1,-3,-3,-3,-3,1,4,1,-3,-3
"154","2017/04/05 02:34",2,2,1,2,2,4,2,2,1,-3,1,-3,-3,2,-3,1,-3,-3
"155","2017/04/05 02:35",2,2,2,1,-3,2,3,1,4,6,2,6,-3,1,-3,1,-3,-3
"156","2017/04/05 02:36",1,2,2,1,1,11,1,11,2,3,2,6,2,2,1,3,1,2
"157","2017/04/05 02:37",-3,1,1,2,8,9,2,1,1,-3,1,1,2,1,-3,1,1,1
"158","2017/04/05 02:38",-3,1,1,2,-3,3,1,1,1,1,1,-3,-3,1,1,1,1,1
"159","2017/04/05 02:39",2,1,2,-3,-3,1,1,1,1,-3,1,-3,-3,1,-3,1,1,-3
"160","2017/04/05 02:40",1,2,2,-3,-3,1,-3,1,1,-3,-3,-3,1,1,4,1,2,-3
"161","2017/04/05 02:41",-3,1,2,1,-3,1,1,1,1,-3,2,-3,1,1,2,1,-3,-3
"162","2017/04/05 02:42",1,1,10,2,1,1,1,1,1,-3,1,-3,1,1,-3,1,-3,-3
"163","2017/04/05 02:43",1,1,1,1,3,1,1,-3,1,1,-3,-3,-3,-3,-3,1,4,-3
"164","2017/04/05 02:44",1,1,2,2,1,1,1,-3,1,5,-3,-3,-3,1,3,1,-3,1
"165","2017/04/05 02:45",-3,1,4,2,1,2,1,2,1,1,-3,-3,3,2,-3,1,-3,-3
"166","2017/04/05 02:46",1,2,2,2,1,2,1,2,1,-3,-3,-3,1,3,-3,2,2,-3
"167","2017/04/05 02:47",1,1,4,2,-3,1,1,1,1,1,-3,-3,2,1,-3,4,1,-3
"168","2017/04/05 02:48",1,1,1,2,3,2,2,-3,2,1,-3,9,-3,2,3,2,1,-3
"169","2017/04/05 02:49",2,1,2,4,1,3,3,4,2,-3,1,-3,-3,1,-3,3,2,6
"170","2017/04/05 02:50",4,3,3,3,4,3,3,4,6,6,8,7,5,4,4,3,4,4
"171","2017/04/05 02:51",2,1,1,2,1,2,1,1,2,1,2,-3,2,1,1,2,1,1
"172","2017/04/05 02:52",2,1,-3,-3,-3,1,1,1,2,1,-3,4,-3,1,-3,3,1,-3
"173","2017/04/05 02:53",-3,1,1,1,1,1,1,3,1,-3,-3,-3,-3,1,2,1,-3,-3
"174","2017/04/05 02:54",-3,1,-3,1,1,1,1,1,1,-3,-3,-3,-3,-3,-3,1,-3,-3
"175","2017/04/05 02:55",-3,-3,-3,1,1,1,2,1,1,-3,-3,-3,-3,1,-3,1,1,-3
"176","2017/04/05 02:56",-3,1,-3,1,1,1,1,-3,1,-3,-3,-3,1,1,-3,1,-3,1
"177","2017/04/05 02:57",-3,1,-3,1,-3,-3,1,-3,1,1,-3,-3,1,1,1,1,-3,-3
"178","2017/04/05 02:58",-3,1,-3,1,-3,-3,1,-3,-3,-3,-3,-3,-3,1,-3,1,1,-3
"179","2017/04/05 02:59",-3,1,-3,1,1,-3,-3,-3,1,-3,-3,-3,-3,1,-3,-3,1,-3
"180","2017/04/05 03:00",-3,3,3,-3,4,-3,2,1,2,1,-3,-3,4,5,-3,1,3,-3
"181","2017/04/05 03:01",4,2,3,2,2,3,3,4,4,6,7,7,3,3,3,4,2,6
"182","2017/04/05 03:02",3,3,4,2,1,3,3,2,4,3,6,6,6,3,1,3,1,3
"183","2017/04/05 03:03",1,1,1,1,1,-3,1,1,2,3,1,1,1,2,1,2,1,-3
"184","2017/04/05 03:04",1,1,1,1,1,1,1,1,2,1,1,-3,-3,1,1,1,-3,-3
"185","2017/04/05 03:05",2,2,4,4,6,2,6,4,3,6,4,1,4,4,4,4,2,5
"186","2017/04/05 03:06",1,3,2,1,2,1,1,2,1,1,1,2,2,1,1,3,2,1
"187","2017/04/05 03:07",4,1,4,3,4,4,2,4,4,6,4,4,4,2,2,3,5,4
"188","2017/04/05 03:08",-3,1,1,3,2,2,1,-3,3,1,-3,2,2,3,2,2,1,2
"189","2017/04/05 03:09",1,1,4,2,-3,1,1,-3,2,-3,-3,2,2,1,1,1,-3,1
"190","2017/04/05 03:10",1,2,3,1,-3,6,1,-3,3,-3,1,4,1,1,-3,1,3,-3
"191","2017/04/05 03:11",1,1,1,1,1,2,1,-3,1,1,1,2,1,1,-3,1,-3,1
"192","2017/04/05 03:12",1,2,1,2,1,-3,1,1,1,-3,-3,1,1,2,-3,1,-3,1
"193","2017/04/05 03:13",2,2,1,1,1,2,1,1,3,1,-3,3,1,1,2,1,-3,2
"194","2017/04/05 03:14",-3,1,1,1,2,5,1,4,1,-3,1,6,-3,1,-3,2,-3,-3
"195","2017/04/05 03:15",-3,1,1,1,1,2,1,2,1,-3,1,-3,-3,1,-3,1,-3,3
"196","2017/04/05 03:16",1,1,2,1,1,4,1,6,2,3,3,2,4,2,-3,1,-3,3
"197","2017/04/05 03:17",1,1,1,1,1,2,2,1,1,-3,-3,-3,2,1,-3,1,-3,1
"198","2017/04/05 03:18",1,1,1,1,1,1,1,1,1,1,1,1,-3,2,-3,2,1,2
"199","2017/04/05 03:19",1,1,1,1,1,1,1,-3,1,-3,2,2,1,-3,-3,1,-3,1
"200","2017/04/05 03:20",1,1,1,1,1,2,1,-3,1,-3,1,1,-3,1,-3,1,4,-3
"201","2017/04/05 03:21",-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1
"202","2017/04/05 03:22",-3,1,1,1,-3,1,1,-3,1,-3,-3,-3,1,1,3,1,3,-3
"203","2017/04/05 03:23",-3,1,1,1,-3,-3,1,-3,-3,-3,-3,-3,-3,2,-3,-3,-3,-3
"204","2017/04/05 03:24",-3,1,3,1,5,-3,1,1,4,1,-3,-3,4,1,-3,1,1,1
"205","2017/04/05 03:25",-3,1,1,-3,1,-3,-3,1,1,-3,1,-3,-3,1,-3,1,1,-3
"206","2017/04/05 03:26",-3,1,1,1,-3,-3,-3,1,1,-3,1,-3,1,1,1,1,1,1
"207","2017/04/05 03:27",-3,1,2,-3,-3,1,1,1,1,-3,-3,-3,-3,-3,-3,1,-3,-3
"208","2017/04/05 03:28",1,1,1,-3,-3,-3,1,-3,1,-3,-3,-3,-3,1,-3,1,-3,-3
"209","2017/04/05 03:29",-3,1,1,1,-3,-3,1,-3,1,-3,-3,-3,-3,1,-3,1,-3,-3
"210","2017/04/05 03:30",-3,1,1,-3,1,-3,1,-3,1,-3,-3,-3,-3,-3,-3,1,-3,1
"211","2017/04/05 03:31",2,1,2,2,4,-3,2,3,3,2,2,-3,4,2,1,2,3,3
"212","2017/04/05 03:32",1,1,1,1,-3,-3,1,-3,1,-3,-3,1,-3,-3,4,-3,-3,2
"213","2017/04/05 03:33",-3,1,-3,1,1,-3,2,-3,1,-3,-3,-3,1,1,1,1,-3,-3
"214","2017/04/05 03:34",-3,1,1,1,1,-3,-3,-3,1,-3,1,-3,-3,-3,-3,1,-3,1
"215","2017/04/05 03:35",-3,1,1,1,-3,-3,-3,1,1,1,-3,-3,-3,1,-3,2,-3,-3
"216","2017/04/05 03:36",1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1
"217","2017/04/05 03:37",-3,1,1,-3,-3,-3,-3,1,1,-3,1,-3,1,1,-3,1,1,1
"218","2017/04/05 03:38",-3,1,-3,1,1,-3,2,1,1,1,-3,-3,1,1,1,2,-3,-3
"219","2017/04/05 03:39",-3,1,-3,-3,-3,-3,1,-3,1,1,-3,-3,-3,-3,2,1,-3,-3
"220","2017/04/05 03:40",-3,1,1,-3,-3,-3,1,-3,-3,1,-3,1,-3,-3,-3,-3,1,-3
"221","2017/04/05 03:41",1,1,1,1,-3,-3,1,-3,1,-3,-3,-3,1,1,1,1,-3,1
"222","2017/04/05 03:42",-3,-3,-3,1,-3,-3,1,-3,1,-3,-3,-3,1,-3,-3,1,-3,-3
"223","2017/04/05 03:43",3,1,-3,1,1,1,1,-3,1,-3,-3,1,1,-3,-3,1,1,-3
"224","2017/04/05 03:44",-3,1,-3,1,1,1,1,-3,1,-3,-3,-3,-3,-3,1,1,-3,1
"225","2017/04/05 03:45",5,1,5,2,8,6,1,1,3,6,6,1,3,1,4,1,-3,-3
"226","2017/04/05 03:46",2,2,2,2,2,3,-3,-3,3,3,1,-3,1,3,-3,1,-3,2
"227","2017/04/05 03:47",1,1,1,1,-3,1,1,1,1,-3,-3,2,-3,1,1,1,-3,-3
"228","2017/04/05 03:48",-3,1,1,-3,1,-3,1,1,1,-3,-3,-3,1,-3,1,2,1,1
"229","2017/04/05 03:49",-3,1,1,-3,-3,-3,1,2,1,-3,1,-3,-3,1,-3,1,-3,1
"230","2017/04/05 03:50",-3,1,1,2,-3,-3,1,1,1,-3,1,3,-3,-3,1,1,1,1
"231","2017/04/05 03:51",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"232","2017/04/05 03:52",-3,1,1,-3,-3,-3,1,-3,1,-3,-3,1,1,1,2,1,-3,1
"233","2017/04/05 03:53",1,1,1,-3,-3,-3,1,-3,1,-3,-3,-3,-3,1,2,1,-3,1
"234","2017/04/05 03:54",1,1,1,1,-3,-3,1,1,1,-3,-3,1,1,-3,-3,1,-3,1
"235","2017/04/05 03:55",-3,1,-3,-3,-3,-3,1,1,1,-3,1,1,-3,1,2,1,1,-3
"236","2017/04/05 03:56",-3,1,1,1,-3,-3,1,1,1,-3,-3,4,-3,1,1,1,-3,1
"237","2017/04/05 03:57",-3,1,-3,2,-3,-3,1,1,-3,-3,-3,1,-3,2,1,1,-3,1
